rubygem_id,gem_downloads
15505,3859
15506,10270
15507,6199
15508,166413
15509,6083
15510,10516
15511,20073405
15512,158424
15513,76527
15514,3593742
15515,328209
15516,6816
15517,4717075
15518,5913
15519,37830
15520,6722
15521,14752
15522,334916
15523,10927
15524,5979
15525,18938
15526,5879
15527,5922
15528,5236192
15529,25082
15530,84487
15531,99178
15532,14458
15533,5895
15534,22685
15535,192267490
15536,31906
15537,69341
15538,5953
15539,4925
15540,5841
15541,5901
15542,5935
15543,122227
15544,685165
15545,479867
15546,504347
15547,5857
15548,9527
15549,36735
15550,10024
15551,79439040
15552,5909
15553,8587
15554,34667
15555,136473
15556,57504
15557,14703572
15558,128550352
15559,31289
15560,1109
15561,1514
15562,281440
15563,7259
15564,285257
15565,5829
15566,1705870
15567,27179
15568,10222
15569,148960
15570,5943
15571,6065
15572,72775
15573,5979
15574,23810
15575,11792
15576,5921
15577,10810
15578,16012
15579,6623
15580,14964
15581,6185
15582,878774
15583,28173
15584,208167
15585,10174
15586,45095
15587,17748
15588,3994638
15589,79696
15590,766044
15591,5859
15592,67536
15593,8285
15594,40426
15595,16614
15596,5981
15597,7151
15598,2558792
15599,14459
15600,10887
15601,24979
15602,37144
15603,132920
15604,27315
15605,106756078
15606,118301
15607,172646
15608,8743
15609,476533414
15610,5991
15611,24298
15612,266656
15613,439228223
15614,2532379
15615,35699
15616,5943
15617,27406
15618,15203
15619,10344
15620,10222
15621,5843
15622,22245
15623,51937
15624,25746
15625,14201
15626,4259
15627,8039
15628,52077
15629,4157
15630,2647569
15631,879873
15632,3424292
15633,130899964
15634,130026
15635,75229
15636,5823
15637,454098
15638,5779
15639,5927
15640,552779
15641,5899
15642,10154
15643,5907
15644,5937
15645,722723
15646,5845
15647,5825
15648,26336186
15649,10364
15650,5929
15651,5887
15652,5799
15653,649373
15654,28271
15655,608369124
15656,31395
15657,5839
15658,60757069
15659,29852
15660,5254
15661,11440
15662,3017141
15663,22869
15664,28194
15665,5867
15666,52193
15667,18889
15668,14783
15669,5881
15670,28775649
15671,15963
15672,559124
15673,14479
15674,21940
15675,142216
15676,20604
15677,54551
15678,145149
15679,5785
15680,5775
15681,54019
15682,959253
15683,18823
15684,15662
15685,10438
15686,6195
15687,2382037
15688,24233
15689,5921
15690,103748
15691,5943
15692,14046
15693,5947
15694,282227
15695,5957
15696,12855
15697,20028
15698,83282
15699,5889
15700,22343
15701,26363
15702,22097
15703,6691
15704,10450
15705,66957
15706,26413
15707,10184
15708,1579
15709,25666690
15711,211580
15712,135735
15713,227323
15714,16647896
15715,112729
15716,23647260
15717,8205
15718,14474
15719,91787
15720,5813
15721,26869
15722,35884
15723,92877
15724,276254
15725,23575
15726,40476
15727,3247606
15728,58316
15729,5991
15730,6007
15731,135037
15732,47969
15733,5901
15734,15195
15735,12773
15736,77906
15737,28923
15738,16139
15739,5925
15740,23687
15741,75317
15742,42604
15743,20513
15744,86392466
15745,67325
15746,353623
15747,10647
15748,45968
15749,18894
15750,54289
15751,8137
15752,1180535
15753,82907
15754,23487
15755,1824741
15756,19090
15757,32173
15758,31966
15759,91813
15760,27419
15761,14603
15762,37226
15763,44946
15764,14653
15765,35896
15766,80054
15767,5789
15768,152144
15769,23183
15770,139145
15771,155096
15772,66368
15773,15167
15774,18955
15775,10504
15776,6013
15777,35904
15778,18186
15779,12085579
15780,15265
15781,14915
15782,49662
15784,11194
15785,6717
